symbol,price,timestamp
usd-coin,0.999106,2024-11-12 13:58:01.485712
bitcoin,88874.55,2024-11-12 13:58:01.967827
ethereum,3371.22,2024-11-12 13:58:01.967827
ethereum,3371.23,2024-11-12 13:58:02.248366
solana,223.74,2024-11-12 13:58:03.246975
bitcoin,88874.43,2024-11-12 13:58:03.574433
bitcoin,88874.22,2024-11-12 13:58:04.048316
ethereum,3371.20,2024-11-12 13:58:04.845513
binance-coin,652.93,2024-11-12 13:58:05.215835
ethereum,3371.19,2024-11-12 13:58:06.445513
bitcoin,88874.11,2024-11-12 13:58:07.253892
ethereum,3371.20,2024-11-12 13:58:07.253892
binance-coin,652.92,2024-11-12 13:58:07.253892
bitcoin,88873.89,2024-11-12 13:58:08.077318
ethereum,3371.18,2024-11-12 13:58:08.077318
bitcoin,88873.90,2024-11-12 13:58:08.505547
bitcoin,88873.44,2024-11-12 13:58:08.913628
ethereum,3371.13,2024-11-12 13:58:08.913628
solana,223.73,2024-11-12 13:58:08.913628
bitcoin,88875.40,2024-11-12 13:58:10.247089
ethereum,3371.18,2024-11-12 13:58:10.247089
binance-coin,652.94,2024-11-12 13:58:10.247089
solana,223.74,2024-11-12 13:58:10.247089
usd-coin,0.999119,2024-11-12 13:58:10.247089
bitcoin,88875.35,2024-11-12 13:58:10.892375
solana,223.75,2024-11-12 13:58:10.892375
bitcoin,88875.33,2024-11-12 13:58:11.886471
ethereum,3371.12,2024-11-12 13:58:12.178807
bitcoin,88875.29,2024-11-12 13:58:12.706099
bitcoin,88875.28,2024-11-12 13:58:13.486215
bitcoin,88875.35,2024-11-12 13:58:14.926619
ethereum,3371.14,2024-11-12 13:58:14.926619
usd-coin,0.999120,2024-11-12 13:58:14.926619
ethereum,3371.28,2024-11-12 13:58:14.926619
usd-coin,0.999117,2024-11-12 13:58:14.926619
ethereum,3371.34,2024-11-12 13:58:14.926619
usd-coin,0.999113,2024-11-12 13:58:14.926619
ethereum,3371.39,2024-11-12 13:58:15.027550
ethereum,3371.33,2024-11-12 13:58:15.509038
ethereum,3371.30,2024-11-12 13:58:16.046255
solana,223.74,2024-11-12 13:58:16.046255
bitcoin,88875.32,2024-11-12 13:58:17.104190
ethereum,3371.29,2024-11-12 13:58:17.645972
bitcoin,88874.93,2024-11-12 13:58:17.965709
bitcoin,88874.66,2024-11-12 13:58:18.371257
ethereum,3371.30,2024-11-12 13:58:19.410296
binance-coin,652.92,2024-11-12 13:58:19.410296
solana,223.75,2024-11-12 13:58:19.410296
bitcoin,88874.71,2024-11-12 13:58:20.206602
binance-coin,652.93,2024-11-12 13:58:20.206602
usd-coin,0.999114,2024-11-12 13:58:20.919758
bitcoin,88874.72,2024-11-12 13:58:22.155993
ethereum,3371.28,2024-11-12 13:58:22.155993
bitcoin,88874.69,2024-11-12 13:58:23.370047
ethereum,3371.27,2024-11-12 13:58:23.370047
bitcoin,88874.62,2024-11-12 13:58:24.604558
solana,223.74,2024-11-12 13:58:25.007220
bitcoin,88874.47,2024-11-12 13:58:27.436639
usd-coin,0.999113,2024-11-12 13:58:27.887819
bitcoin,88874.45,2024-11-12 13:58:28.625298
usd-coin,0.999114,2024-11-12 13:58:29.020985
ethereum,3371.55,2024-11-12 13:58:29.427053
ethereum,3371.25,2024-11-12 13:58:30.197577
bitcoin,88874.44,2024-11-12 13:58:30.266711
solana,223.78,2024-11-12 13:58:30.266711
bitcoin,88874.92,2024-11-12 13:58:31.104403
ethereum,3371.26,2024-11-12 13:58:31.104403
binance-coin,652.94,2024-11-12 13:58:31.104403
solana,223.74,2024-11-12 13:58:31.104403
usd-coin,0.999108,2024-11-12 13:58:31.104403
solana,223.73,2024-11-12 13:58:31.885164
usd-coin,0.999106,2024-11-12 13:58:32.686935
bitcoin,88874.55,2024-11-12 13:58:33.167906
ethereum,3371.25,2024-11-12 13:58:33.167906
bitcoin,88874.41,2024-11-12 13:58:33.966267
ethereum,3371.26,2024-11-12 13:58:35.175572
solana,223.71,2024-11-12 13:58:36.404227
ethereum,3371.23,2024-11-12 13:58:36.848236
binance-coin,652.93,2024-11-12 13:58:36.848236
usd-coin,0.999108,2024-11-12 13:58:36.848236
bitcoin,88874.48,2024-11-12 13:58:40.098089
ethereum,3371.28,2024-11-12 13:58:40.098089
binance-coin,652.94,2024-11-12 13:58:40.098089
solana,223.72,2024-11-12 13:58:40.098089
ethereum,3371.27,2024-11-12 13:58:40.881616
bitcoin,88872.81,2024-11-12 13:58:41.283659
bitcoin,88872.63,2024-11-12 13:58:42.132714
bitcoin,88872.43,2024-11-12 13:58:42.494402
bitcoin,88873.21,2024-11-12 13:58:42.926475
ethereum,3371.32,2024-11-12 13:58:42.926475
solana,223.73,2024-11-12 13:58:45.005707
ethereum,3371.27,2024-11-12 13:58:45.329920
ethereum,3371.31,2024-11-12 13:58:48.849879
usd-coin,0.999112,2024-11-12 13:58:48.849879
bitcoin,88873.24,2024-11-12 13:58:52.050797
bitcoin,88860.78,2024-11-12 13:58:52.689133
ethereum,3370.80,2024-11-12 13:58:52.689133
binance-coin,652.95,2024-11-12 13:58:52.689133
bitcoin,88860.77,2024-11-12 13:58:53.395742
ethereum,3370.81,2024-11-12 13:58:53.395742
binance-coin,653.13,2024-11-12 13:58:53.395742
bitcoin,88860.88,2024-11-12 13:58:54.335184
ethereum,3370.79,2024-11-12 13:58:54.335184
ethereum,3370.82,2024-11-12 13:58:54.335184
bitcoin,88860.94,2024-11-12 13:58:55.076914
bitcoin,88860.89,2024-11-12 13:58:55.468242
solana,223.72,2024-11-12 13:58:55.468242
ethereum,3370.80,2024-11-12 13:58:55.890504
bitcoin,88859.41,2024-11-12 13:58:57.523083
ethereum,3370.74,2024-11-12 13:58:57.524180
binance-coin,653.14,2024-11-12 13:58:57.524180
usd-coin,0.999137,2024-11-12 13:58:57.524180
bitcoin,88859.34,2024-11-12 13:58:59.106424
solana,223.73,2024-11-12 13:58:59.227172
bitcoin,88859.18,2024-11-12 13:58:59.567036
ethereum,3370.79,2024-11-12 13:58:59.567036
bitcoin,88859.37,2024-11-12 13:59:00.047784
ethereum,3370.76,2024-11-12 13:59:00.047784
binance-coin,653.13,2024-11-12 13:59:00.047784
solana,223.74,2024-11-12 13:59:00.047784
